state_or_ut,state_page_url,listed_center_count,state_page_declared_count,serial_no,kvk_address,host_organization,year_of_sanction_raw,sanction_value,host_category
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,26,"Krishi Vigyan Kendra, | College of Agriculture, | Distt. Gwalior-474002","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",2003 | SAU,2003,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,27,"Krishi Vigyan Kendra, | Kuthulia Farm, | Distt. Rewa-486 001","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, Jabalpur-482 004",2003 | SAU,2003,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,28,"Krishi Vigyan Kendra, | Betul Bazar, | Distt. Betul-460004","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",2002 | SAU,2002,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,29,"Krishi Vigyan Kendra, | Laxmipur, | Distt. Panna-488001","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",2002 | SAU,2002,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,30,"Krishi Vigyan Kendra, | Post Box No.18, | Distt. Dhar-454 001","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",2002 | SAU,2002,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,31,"Krishi Vigyan Kendra, | CRDE, Vill-Sewania Ichhwar, | Distt. Sehore-462043","The Chairman, | Centre for Rural Dev. & Environment, Bhopal",1999 | NGO,1999,NGO
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,32,"Krishi Vigyan Kendra, | Etawa Road, | Distt. Bhind-477001","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",1997 | SAU,1997,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,33,"Krishi Vigyan Kendra, | Kasturba Gandhi National Memorial Trust Kasturabagram , Khandwa Road, | Distt. Indore-452 020","Chairman, | Kasturba Gandhi Natinoal Memorial Trust, Kasturva Gram, Indore",1996 | NGO,1996,NGO
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,34,"Krishi Vigyan Kendra, | College of Agriculture, Jaswadi Road, | Distt. Khandwa-450 001","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",1994 | SAU,1994,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,35,"Krishi Vigyan Kendra, | Kundeshwar, | Distt. Tikamgarh-472001","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",1994 | SAU,1994,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,36,"Krishi Vigyan Kendra, | Block Office Compound, | Distt. Seoni-480 661","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",1994 | SAU,1994,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,37,"Krishi Vigyan Kendra, | Kothi Bagh, Biaora, | Distt. Rajgarh-465 661","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",1994 | SAU,1994,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,38,"Krishi Vigyan Kendra, | Raghogarh Naka Aron | Distt. Guna-473 101","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",1994 | SAU,1994,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,39,"Krishi Vigyan Kendra, | Shiksha Samiti, Kalukheda, | Distt. Ratlam-457339","President, | Kalukheda Shiksha Samiti, | Ratlam",1994 | NGO,1994,NGO
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,40,"Krishi Vigyan Kendra, | Karaundia | Distt. Sidhi-486 661","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",1992 | SAU,1992,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,41,"Krishi Vigyan Kendra, | Tehnical School Campus, Rewa Road, | Distt. Shahdol-484 001","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",1992 | SAU,1992,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,42,"Krishi Vigyan Kendra, | Badgaon, PO. Pala | Distt. BalaghAt.481115","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",1992 | SAU,1992,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,43,"Krishi Vigyan Kendra, | Sri Malwa Mahila Vikas Samiti | PO. Sirjon, | Distt. Vidisha-464228","President, | Malwa Mahila Vikas Samiti, | 32, Niyamatpura, Shajanabad, | Bhopal",1992 | NGO,1992,NGO
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,44,"Krishi Vigyan Kendra, | Majhgaon, | Distt. Satna-485 331","Chairman, | Deen Dayal Research Institute, | Rani Jhansi Road, New Delhi",1992 | NGO,1992,NGO
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,45,"Krishi Vigyan Kendra, | JNKVV Farm, Rajgarh Naka, | Distt. Jhabua-457661","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",1984 | SAU,1984,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,46,"Krishi Vigyan Kendra, | Chandangaon, | Distt. Chhindwara-480001","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",1983 | SAU,1983,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,47,"Krishi Vigyan Kendra, | Berasia Road, | Distt. Bhopal-462 038","Director, | CIAE (ICAR), Nabibagh, Berasia Road, Bhopal-462 038",1979 | ICAR,1979,ICAR
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,48,"Krishi Vigyan Kendra, | Deora,Tehsil, | Distt. Singrauli-462 038","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",2017 | SAU,2017,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,49,"Krishi Vigyan Kendra, | Vill.Borekhed, | Distt. Alirajpur-462 038","Vice-Chancellor, | Rajmata Vijayraje Sciendia Krishi Vishwa Vidyalaya , | Race Cource Road, Gwalior 474002 Madhya Pradesh",2017 | SAU,2017,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,50,"Krishi Vigyan Kendra, | Vill.Jagpura, | Distt. Agar Malwa","Vice-Chancellor, | Rajmata Vijayraje Sciendia Krishi Vishwa Vidyalaya , | Race Cource Road, Gwalior 474002 Madhya Pradesh",2017 | SAU,2017,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,51,"Krishi Vigyan Kendra, | Village Deora, , | Distt. Singrauli, Madhya Pradesh.","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, | Jabalpur-482 004",2017 | SAU,2017,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,52,"Krishi Vigyan Kendra, | Vill.Manawar-Semalda, | Distt. Dhar","Vice-Chancellor, | Rajmata Vijayraje Sciendia Krishi Vishwa Vidyalaya , | Race Cource Road, Gwalior 474002 Madhya Pradesh",2018 | SAU,2018,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,53,"Krishi Vigyan Kendra, | Village Bijora, Tehsil Devori, | Distt. Sagar, Madhya Pradesh-","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, Jabalpur-482 004",2020 | SAU,2020,SAU
Madhya Pradesh,https://icar.org.in/en/node/15044,54,54,54,"Krishi Vigyan Kendra, | Village Bijora, Tehsil Devori, | Distt. Chhindwara, Madhya Pradesh -","Vice-Chancellor, | Jawaharlal Nehru Krishi Viswavidyalaya, Jabalpur-482 004",2019 | SAU,2019,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,1,"Krishi Vigyan Kendra, | Ariyalur","The Secretary, | CREED, 23, Arangaanatha Nagar | Chidambaram, Distt. Cuddalore | Tamilnadu-608001",2009 | NGO,2009,NGO
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,2,"Krishi Vigyan Kendra, | State Seed Farm, | Papparappaty, Pennagaram Tk | Distt. Dharmapuri-636 809","Vice-Chancellor, | Tamil Nadu Agricultural Unviersity, Coimbatore",2006 | SAU,2006,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,3,"Krishi Vigyan Kendra, | Regional Research Station, | Kovilangulam, Aruppukottai | Distt. Virudhunagar-626107","Vice Chancellor, | Tamil Nadu Agricultural University, Coimbatore, Tamil Nadu.",2006 | SAU,2006,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,4,"Krishi Vigyan Kendra, | Puluderi, Kulithalai, | Distt. Karur-623313","Managing Trustee | Saraswati Foundation for Rural Development and Training, 12/5.Sandilya Apartments, | Jagadambal Colony, Iind Street | Royapettah, Chennai-600 014",2005 | NGO,2005,NGO
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,5,"Krishi Vigyan Kendra, | Valikandapuram, | Distt. Perambalur-621 115",St John Educational Trust | Perambalur,2004 | NGO,2004,NGO
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,6,"Krishi Vigyan Kendra, | National Pulse Research Centre, | VambanColony, | Distt. Pudukottai-622303,","Vice-Chancellor, | Tamil Nadu Agricultural University, | Coimbatore-641 003",2004 | SAU,2004,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,7,"Krishi Vigyan Kendra, | Coastal Saline Research Centre, | Distt . Ramnathapuram-623503","Vice-Chancellor, | Tamil Nadu Agricultural University, | Coimbatore-641 003",2004 | SAU,2004,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,8,"Krishi Vigyan Kendra, | Horticultural Research Station, | Pechiparai, | Distt. Kanyakumari-629161","Vice-Chancellor, | Tamil Nadu Agricultural University, | Coimbatore-641 003",2004 | SAU,2004,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,9,"Krishi Vigyan Kendra, | Agricultural College & Research Institute, | Distt. Madurai-625 104","Vice-Chancellor, | Tamil Nadu Agricultural University, | Coimbatore-641 003",2004 | SAU,2004,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,10,"Krishi Vigyan Kendra, | Oilseeds Research Station, Tindivanam, | Distt. Villupuram-604 001","Vice-Chancellor, | Tamil Nadu Agricultural University, | Coimbatore-641 003",2004 | SAU,2004,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,11,"Krishi Vigyan Kendra, | Virinjipuram, | Distt. Vellore-632 104","Vice-Chancellor, | Tamil Nadu Agricultural University, | Coimbatore-641 003",2004 | SAU,2004,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,12,"Krishi Vigyan Kendra, | Tirur, | Distt. Thiruvallur-602 025","Vice-Chancellor, | Tamil Nadu Agricultural University, | Coimbatore-641 003",2004 | SAU,2004,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,13,"Krishi Vigyan Kendra, | Needamangalam | Distt. Tiruvarur-614 404","Vice-Chancellor, | Tamil Nadu Agricultural University, | Coimbatore-641 003",2004 | SAU,2004,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,14,"Krishi Vigyan Kendra, | Sikkal, | Distt. Nagapattinam-611 108","Vice-Chancellor, | Tamil Nadu Agricultural University, | Coimbatore-641 003",2004 | SAU,2004,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,15,"Krishi Vigyan Kendra, | Veterinary College & Research Institute, | Distt. Namakkal-637 0017","Vice-Chancellor, | TN University of Veterinary and Animal Science, Chennai-600051",2004 | SAU,2004,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,16,"Krishi Vigyan Kendra, | Kundrakudi, | Distt. Shivagangai-630 206","Vice-Chancellor, | TN University of Veterinary and Animal Science, Madras-600051",1996 | SAU,1996,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,17,"Krishi Vigyan Kendra, | Usilampatti, | Manyeripatti (BPO) | Distt. Thanjavur-613 402","President, | Bhatavasalam Memorial Trust,596,A-1 & As,TNHB Periyar Nagar, Koratur, | Chennai-600080",1995 | NGO,1995,NGO
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,18,"Krishi Vigyan Kendra, | Vegaikulam, Mudivithanedal Post, | Distt. Tuticorin-628102","Chairman | SCAD , 2 Salai Street, Vannarpettai Tirunelvelli",1995 | NGO,1995,NGO
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,19,"Krishi Vigyan Kendra, | Sandhiyur Mallur via, | Distt. Salem-636 203","Vice-Chancellor, | Tamil Nadu Agricultural University, | Coimbatore-641 003",1994 | SAU,1994,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,20,"Krishi Vigyan Kendra, | Kamatchipuram, | Distt. Theni-625 520","Chairman, | Centre for Deve. & Communication Trust, | 89-1/B-3West Street Kamatchipuram S.O. Theni, Madurai-625 520",1994 | NGO,1994,NGO
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,21,"Krishi Vigyan Kendra, | Urmelalagian, Ayikudi | PO. Tenkasi (TK) | Distt. Tirunelveli-627 852","Chairman, | RVS Education Trust,Karur Road | RVS Nagar,Dindigul-624 004",1994 | NGO,1994,NGO
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,22,"Krishi Vigyan Kendra, | Mallinayanapalli (PO) | Elumichangiri-635120 | Distt. Krishanagiri","President, | Tamilnadu Board of Rural Deve., No.13/3,II Floor Crescent Park Street, T.Nagar, | Chennai-500017",1994 | NGO,1994,NGO
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,23,"Krishi Vigyan Kendra, | Kilnelli Village, | Chithathur Post Cheyyar TK, | Distt. Tiruvannamalai-604 410","President, | Tamilnadu Board of Rural Deve., No.13/3,II Floor Crescent Park Street, | T.Nagar, Chennai-500017",1991 | NGO,1991,NGO
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,24,"Krishi Vigyan Kendra, | 57, Bharathi Street, Gobichettipalayam, | Distt. Erode-638 452","Executive Secretary, | MYRADA, No.2 Service, Domlur Layout, | Banglore-560071",1991 | NGO,1991,NGO
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,25,"Krishi Vigyan Kendra, | Gandhigram, | Distt. Dindigul-624 302","Chancellor | Gandhigram Rural Institute., | Gandhigram-624302, Dindigul",1989 | DU,1989,DU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,26,"Krishi Vigyan Kendra, | Vridhachalam, | Dist Cuddalore-606 001","Vice-Chancellor, | Tamil Nadu Agricultural University, | Coimbatore-641 003",1985 | SAU,1985,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,27,"Krishi Vigyan Kendra, | Kattankulathur Post | Kattupakkam, | Distt. Kancheepuram-603 203","Vice-Chancellor, | Tamil Nadu Vet.&Animal Sciences University, Madhavaram Milk Colony | Chennai-600 051",1985 | SAU,1985,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,28,"UPASI Krishi Vigyan Kendra, | Glenview,Coonoor, | Distt. Nilgiris-643101","Secretary,-General | UPASI, Glenview,P.B.-11 | Coonoor-643101Nilgiri Distt.",1983 | NGO,1983,NGO
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,29,"Krishi Vigyan Kendra, | PO. Vivekanandapuram, | Seeliyur, Karamadai Block, | Distt. Coimbatore-641 113","The Secretary, | Sri Avinashilingam Institute of | Higher Educational and | Home Science, Coimbatore-641113",1979 | DU,1979,DU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,30,"Krishi Vigyan Kendra, | Sirugamani, | Distt. Trichirappali-639115","Vice-Chancellor, | Tamil Nadu Agricultural University, | Coimbatore-641 003",1977 | SAU,1977,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,31,"Krishi Vigyan Kendra, | Kural, Chinnasalem, | Distt. Villupuram","Vice-Chancellor, | Tamil Nadu Vet.&Animal Sciences University, Madhavaram Milk Colony | Chennai-600 051",2019 | SAU,2019,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,32,"Krishi Vigyan Kendra, | Village State Seed Farm Pongalur, | Palladam Taluk,Distt Tiruppur, Tamil Nadu","Vice-Chancellor, | Tamil Nadu Agricultural University, Coimbatore, Tamil Nadu-641 003",2019 | SAU,2019,SAU
Tamil Nadu,https://icar.org.in/en/node/15045,33,33,33,"Krishi Vigyan Kendra, | HRS Woodhouse farm, | ooty,Nilgirs Tamil Nadu","Vice-Chancellor, | Tamil Nadu Agricultural University, Coimbatore, Tamil Nadu-641 003",2022 | SAU,2022,SAU
Puducherry,https://icar.org.in/en/node/15046,3,3,1,"Krishi Vigyan Kendra, | Kurambapet, | Distt. Puducherry-605 009","Director, of Agriculture | Govt. of Pondichery, Chief Secretariat Bldg. | Puducherry",1994 | State Govt.,1994,State Govt.
Puducherry,https://icar.org.in/en/node/15046,3,3,2,"Krishi Vigyan Kendra, | Madur, | Distt. Karaikal-609 607","Diector of Agriculture | Govt. of Pondichery, Chief Secretariat Bldg. | Puducherry-605 001",1974 | State Govt.,1974,State Govt.
Puducherry,https://icar.org.in/en/node/15046,3,3,3,Krishi Vigyan Kendra | Village -Mettacur Revenue of Yaman | Puducherry,The Director of Agriculture Deptt. of Agriculture Govt. of Puducherry,30/03/2012 | State Govt.,30-03-2012,State Govt.
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,1,"Krishi Vigyan Kendra | DCMS Bulding ,Kamalanagar Anantapur-515001, Andhra Pradesh","Vice Chancellor | Acharya N.G.Ranga Agricultural University, Rajendra Nagar | Hyderabad-500030",1983 | SAU,1983,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,2,"Krishi Vigyan Kendra, | Acharya N.G. Ranga Agricultural University, | # 8-881, Jainagar Colony | Kalyandurg, Anantapur515761, Andhra Pradesh","Vice Chancellor | Acharya N.G.Ranga Agricultural University, Rajendra Nagar | Hyderabad-500030",2010 | SAU,2010,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,3,"RASS - Acharya Ranga Krishi Vigyan Kendra, | Karakambadi post, Renigunta mandal | Chittoor dt - 517 520","Chittoor, | Rashtriya Seva Samithi (RASS) , | Sevanilayam, AIR bypass road, | Tirupati - 517 501",1992 | SAU | @,1992,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,4,"Programme Co-coordinator Krishi Vigyan Kendra,Kalikiri, Chittoor dist. | Chittoor dt -Andhra Pradesh-517234","Vice Chancellor | Acharya N.G.Ranga Agricultural University, Rajendra Nagar | Hyderabad-500030",20012 | SAU | @,20012,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,5,"Krishi Vigyan Kendra, | (Central Tobacco Research Institute) , Kalavacharla,Rajanagaram | Mandal, East Godavari District-533 297","Director, | ICAR- Central Tobacco Research , | Institute, Rajahmundry -533 105 | East Godavari district,",1983 | ICAR | @,1983,ICAR
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,6,"Krishi Vigyan Kendra, | Garudapuram Village, | Kalyandurg Mandal, | Distt. Anantapur","Vice-Chancellor, | Acharya N.G. Ranga | Agricultural University, Rajendranagar, Hyderabad-500030",26.07.10 | SAU | @,26.07.10,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,7,"Krishi VIgyan Kendra, | Vinayashram, Cherukupalli | Mandal, Distt. Guntur-522 309","Chairman, | Vinayashram Cherukupalli | Mandal, Guntur-522 309",1992 | NGO | @,1992,NGO
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,8,"Krishi Vigyan Kendra | Lam, Guntur. 522034","Vice-Chancellor, | Sri Venkateswara Veterinary | University, Tirupati - 517 502",2012 | SAU | @,2012,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,9,"Krishi Vigyan Kendra, | Utukur, Kadapa | Y.S.R. district - 516003","Vice-Chancellor, | Acharya N.G. Ranga | Agricultural University, Rajendranagar, Hyderabad-500030",1993 | SAU,1993,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,10,"Dr.K.L.Rao Krishi Vigyan , | Kendra Garikapadu- 521 175, | Krishna District,","Vice-Chancellor, | Acharya N.G. Ranga | Agricultural University, Rajendranagar, Hyderabad-500030",2002 | SAU,2002,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,11,"Krishi Vigyan Kendra, | Agricultural Research Station, Ghantasala - 521 133Krishna","Vice-Chancellor, | Acharya N.G. Ranga | Agricultural University, Rajendranagar, Hyderabad-500030",2012 | SAU,2012,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,12,"Krishi Vigyan Kendra,- | Upstairs Andhra Bank, Yemmiganur | 518360, Kurnool District","Vice-Chancellor, | Acharya N.G. Ranga | Agricultural University, Rajendranagar, Hyderabad-500030",2010 | SAU,2010,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,13,"Shri Hanumantharaya Educational & Charitable Society, Yagantipalle (P) | Banaganapalle (M), Kurnool (Dt.) - 518 124","Secretary | Sri Hanumantharaya Educational | & Charitable Society, Pendekanti Public School, Kothapeta, Kurnool-518 124",1989 | SAU,1989,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,14,"Krishi Vigyan Kendra, | Mini By Pass Road | Opp. Royal Enfield show room | Distt. B.V.Nagar, Nellore - 524004","Vice-Chancellor, | Acharya N.G. Ranga | Agricultural University, Rajendranagar, Hyderabad-500030",2004 | S AU,2004,S AU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,15,"Krishi Vigyan Kendra, | Agril. Research Station | PO: Darsi, Prakasam - 523247","Vice-Chancellor, | Acharya N.G. Ranga | Agricultural University, Rajendranagar, Hyderabad-500030",1999 | SAU,1999,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,16,"Krishi Vigyan Kendra, | CTRI Premises, Kandukru 523 105 | Prakasam Dist.","Director, | ICAR- Central Tobacco Research Institute, Rajahmundry -533 105East Godavari district",2012 | ICAR,2012,ICAR
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,17,"Programme Coordinator, | Krishi Vigyan Kendra | Amadalavalasa, Srikakulam - 532 185","Vice-Chancellor, | Acharya N.G. Ranga | Agricultural University, Rajendranagar, Hyderabad-500030",1985-86 | SAU,1985-86,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,18,"BCT - Krishi Vigyan Kendra, | BCT Farm Complex,Haripuram, Rambilli Mandal, Visakhapatnam Distt.-531061","Chariman, | Bhagavatula Charitable Trust, BCT Farm Complex, | Haripuram, Rambilli Mandal, Visakhapatnam Distt.- 531061",1995 | NGO,1995,NGO
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,19,"Krishi Vigyan Kendra, | PO: Rastakuntubai, Vizianagaram-535523","Vice-Chancellor, | Acharya N.G. Ranga | Agricultural University, Rajendranagar, Hyderabad-500030",1983 | SAU,1983,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,20,"Krishi Vigyan Kendra, | PO. Karakambadi | Vanasthali, Tirupathi, | Distt. Chittoor-517501","Chairman, | Rayalseema Seva Samiti, 9,Old Hazur Office Building, Tirupathi, | Chittoor-517 520",1992 | NGO,1992,NGO
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,21,"Krishi Vigyan Kendra,Dr.Y.S.R.Horticultural University, Venkataramannagudem | West Godavari District- 534 101","Vice Chancellor,Dr.Y.S.R.Horticultural University | ,Venkataramannagudem",2010 | SAU,2010,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,22,"Krishi Vigyan Kendra, | Undi - 534 199 | West Godavari Dt","Vice-Chancellor, | Acharya N.G. Ranga | Agricultural University, Rajendranagar, Hyderabad-500030",1995 | SAU,1995,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,23,"Krishi Vigyan Kendra, | Nellore (Andhra Pradesh)","Vice-Chancellor, | Dr. YSR Hort. University,West Godawari, | Andhra Pradesh",22-09-2016 | SAU,22-09-2016,SAU
Andhra Pradesh,https://icar.org.in/en/node/15047,24,24,24,"Krishi Vigyan Kendra, | Vonipenta village, Mydukur , | Mandal, | Kadapa Distt. of Andhra Pradesh","Vice-Chancellor, | Dr. YSR Hort. University,West Godawari, | Andhra Pradesh",12-01-2017 | SAU,12-01-2017,SAU
Telangana,https://icar.org.in/en/node/15048,16,16,1,"Krishi Vigyan Kendra | Ramnagar, Adilabad -504001","Vice Chancellor | Professor Jayashankar Telangana State Agricultural University | (PJTSAU), Rajendranagar,Hyderabad - 500 030",2000 | SAU,2000,SAU
Telangana,https://icar.org.in/en/node/15048,16,16,2,"Krishi Vigyan Kendra, | Jaya Prakashnagar, , | Jammikunta, Dist: Karimnagar - 505122","Chairman | Grama Nava NirmanSamithi Jayaprakashnagar, Jammikunta | Karimnagar Dist.",1992 | NGO,1992,NGO
Telangana,https://icar.org.in/en/node/15048,16,16,3,"Krishi Vigyan Kendra, | Ramagirikhilla, Ratnapur | Kamanpur (M) Dist: Karimnagar - 505212","Vice Chancellor,Sri Konda Laxman Telangana State Horticultural University (SKLTSHU) Rajendranagar, Hyderabad - 500 030",2010 | SAU | @,2010,SAU
Telangana,https://icar.org.in/en/node/15048,16,16,4,"Krishi Vigyan Kendra, | Wyra -507 165","Vice Chancellor | Professor Jayashankar Telangana State Agricultural University | (PJTSAU), Rajendranagar,Hyderabad - 500 030",2004 | SAU | @,2004,SAU
Telangana,https://icar.org.in/en/node/15048,16,16,5,"Krishi Vigyan Kendra, | Youth For Action, | Madanapuram Kothakota Mandal | Mahabubnagar District-- 509110","Chairman, | Youth For Action, | Plot No. 2020 | “Sree Nivas”, Banjara Nagar, | Trimulgherry - 500015 | Secunderabad.",1992 | NGO | @,1992,NGO
Telangana,https://icar.org.in/en/node/15048,16,16,6,"Palem - 509 215 | Mahabubnagar Dist, | Telangana State. | Phone No. 08540 - 228644 | Cell No. 7702 36611","Vice Chancellor | Professor Jayashankar Telangana State Agricultural University | (PJTSAU), Rajendranagar,Hyderabad - 500 030",2011 | SAU | @,2011,SAU
Telangana,https://icar.org.in/en/node/15048,16,16,7,"DDS- Krishi Vigyan Kendra, PO.Box No.214, | Near Allana factory, Didigi Village, Zaheerabad-502220, Medak","Chairman | Deccan Development Society, | 101, Kishan Residency, | St. No.5 Begumpet, Hyderabad - 500016",1991 | NGO | @,1991,NGO
Telangana,https://icar.org.in/en/node/15048,16,16,8,"Krishi Vigyan Kendra | Gaddipally Village & Post | Garedepally Mandal, Nalgonda -508 201","Secretary | Sri Aurobindo Institute of Rural Development | Gaddipally Village & Post Garedepally Mandal, Nalgonda -508201",1984 | NGO | @,1984,NGO
Telangana,https://icar.org.in/en/node/15048,16,16,9,"Krishi Vigyan Kendra, Kampasagar, | Babusaipet Post 508 207, | Nalgonda District","Vice Chancellor | Professor Jayashankar Telangana State Agricultural University (PJTSAU), Rajendranagar, Hyderabad-500030",2011 | SAU,2011,SAU
Telangana,https://icar.org.in/en/node/15048,16,16,10,"Krishi Vigyan Kendra | (Farm Science Centre ) | Rudrur, Nizamabad Dist -503188","Vice Chancellor, | Professor Jayashankar Telangana State Agricultural University (PJTSAU), Rajendranagar, Hyderabad-30",2004 | SAU,2004,SAU
